Evaluation Technique,Evaluation Technique Types,Evaluation Metrics,Assesses Learning Objective Situation,Assesses Learning Objectives,Assesses Learning Feedback Learner,Assesses Learning Feedback Source,Assesses Learning Feedback,Provides Response Learner,Provides Response Source,Provides Responses
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Foundational Semantic Web Study,Recall core metadata terminology,Learner Alex,Instructor Reviewer,Strategic Feedback on Ontology Explanation,Learner Alex,Instructor Reviewer,Strategic Feedback on Ontology Explanation
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,Foundational Semantic Web Study,Explain what an ontology represents,Learner Alex,Instructor Reviewer,Strategic Feedback on Ontology Explanation,Learner Alex,Instructor Reviewer,Ontology Explanation Response
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Foundational Semantic Web Study,Describe the purpose of a knowledge graph,Learner Alex,Instructor Reviewer,Strategic Feedback on Ontology Explanation,Learner Alex,Instructor Reviewer,Strategic Feedback on Ontology Explanation
Auto Scored Concept Check,Formative | Automated | Low Stakes,Score Percent | Correctness Flag,Identifier Practice Session,Identify URI namespace and hash or slash patterns,Learner Blair,Learning Platform,Corrective Feedback on Identifier Patterns,Learner Blair,Learning Platform,Identifier Hint Response
Triple Interpretation Quiz,Formative | Automated,Score Percent | Correctness Flag,RDF Practice Session,Interpret RDF triple components,Learner Blair,Learning Platform,Corrective Feedback on Triple Components,Learner Blair,Learning Platform,Triple Component Hint Response
Schema Reasoning Review,Formative | Instructor Reviewed,Rubric Level,RDFS Schema Practice,Apply RDFS domain and range constraints,Learner Casey,Instructor Reviewer,Strategic Feedback on Schema Reasoning,Learner Casey,Instructor Reviewer,Schema Reasoning Response
Short Explanation Rubric,Formative | Instructor Reviewed | Explanation Based,Score Percent | Confidence Rating | Rubric Level,RDF Practice Session,Compare RDF serialization formats,Learner Blair,Learning Platform,Corrective Feedback on Triple Components,Learner Blair,Learning Platform,Corrective Feedback on Triple Components
Query Practice Check,Formative | Automated,Score Percent | Correctness Flag,SPARQL Query Practice,Construct a basic SPARQL SELECT query,Learner Blair,Learning Platform,Corrective Feedback on SPARQL Pattern,Learner Blair,Learning Platform,SPARQL Pattern Hint Response
Ontology Modeling Review,Summative | Instructor Reviewed | Modeling Artifact,Rubric Level | Confidence Rating,OWL Modeling Practice,Differentiate OWL data and object properties | Analyze OWL axioms in a modeling scenario | Revise an ontology model after feedback,Learner Casey,Instructor Reviewer,Strategic Feedback on OWL Modeling,Learner Casey,Instructor Reviewer,OWL Modeling Response
Mastery Reassessment,Summative | Automated,Score Percent | Rubric Level,RDFS Schema Practice,Demonstrate mastery of RDF and RDFS basics,Learner Casey,Learning Platform,Mastery Feedback on RDF RDFS Basics,Learner Casey,Learning Platform,Mastery Response
