Learning Objective,Learning Objective Description,Works On Learning Situation,Develops Skills,Aligned Pedagogical Framework,Aligned Pedagogical Element,Targeted By Pedagogical Techniques
Recall core metadata terminology,Recall what metadata means and identify basic examples from educational resources,Foundational Semantic Web Study,Semantic Web Vocabulary Recall,Bloom's Taxonomy,Remember,Retrieval Practice | Advance Organizer
Explain what an ontology represents,Explain how an ontology organizes classes properties axioms and shared meaning,Foundational Semantic Web Study,Ontology Concept Explanation,Cognitive Apprenticeship,Modeling,Think Aloud Modeling | Worked Example
Describe the purpose of a knowledge graph,Describe how entities relationships and schema support knowledge graph representation,Foundational Semantic Web Study,Knowledge Graph Purpose Explanation,Bloom's Taxonomy,Understand,Concept Mapping | Dual Coding
Identify URI namespace and hash or slash patterns,Recognize identifier patterns used in linked data resources,Identifier Practice Session,Linked Data Identifier Recognition,Cognitive Apprenticeship,Coaching,Guided Practice | Error Analysis
Interpret RDF triple components,Identify subject predicate object class type literals and blank nodes in RDF statements,RDF Practice Session,RDF Triple Interpretation,Cognitive Apprenticeship,Articulation,Self Explanation | Socratic Questioning
Apply RDFS domain and range constraints,Use domain range subclass and subproperty ideas to interpret simple RDFS schema statements,RDFS Schema Practice,RDFS Schema Reasoning,Cognitive Apprenticeship,Scaffolding,Faded Worked Example | Guided Practice
Compare RDF serialization formats,Compare RDF XML JSON LD and Turtle for representing RDF graph content,RDF Practice Session,RDF Serialization Comparison,Community of Inquiry,Cognitive Presence,Debate Protocol | Collaborative Annotation
Construct a basic SPARQL SELECT query,Write a simple SPARQL query that selects resources matching a graph pattern,SPARQL Query Practice,SPARQL Query Construction,Cognitive Apprenticeship,Exploration,Transfer Task | Prototype Design
Differentiate OWL data and object properties,Explain how OWL data properties and object properties connect individuals to values or resources,OWL Modeling Practice,OWL Property Differentiation,Instructional Model,Explain,Worked Example | Dual Coding | Concept Mapping
Analyze OWL axioms in a modeling scenario,Analyze equivalence disjointness cardinality and property characteristics in an ontology example,OWL Modeling Practice,OWL Axiom Analysis,Problem Based Learning,Problem Analysis,Data Walkthrough | Socratic Questioning
Revise an ontology model after feedback,Use corrective feedback to improve classes properties or axioms in a small ontology model,OWL Modeling Practice,Ontology Model Revision,Mastery Learning,Corrective Support,Corrective Mini Lesson | Error Analysis
Demonstrate mastery of RDF and RDFS basics,Show mastery by interpreting RDF triples and RDFS schema constraints after reassessment,RDFS Schema Practice,RDF RDFS Mastery Demonstration,Mastery Learning,Reassessment,Rubric Based Review | Retrieval Practice
Recall metadata vocabulary,Metadata Vocabulary Recall in What is Metadata?: Sort examples and define the boundary conditions for Metadata.,Knowledge Graph Foundations Orientation,Metadata Vocabulary Recall,Bloom's Taxonomy,Remember,Retrieval Practice | Advance Organizer
Explain ontology components,"Ontology Component Explanation in What is an Ontology?: Explain the representation choice, then test it against a second example.",Developer Knowledge Graph Implementation Practice,Ontology Component Explanation,Cognitive Apprenticeship,Modeling,Think Aloud Modeling | Worked Example
Describe knowledge graph structure,Knowledge Graph Structure Explanation in What is a Knowledge Graph?: Annotate a partial artifact and justify the missing KG decision.,Data Science KG Modeling Foundations,Knowledge Graph Structure Explanation,Universal Design for Learning,Representation Options,Multiple Means Representation | Dual Coding
Identify identifier patterns,Identifier Pattern Recognition in What is an Identifier?: Compare two alternatives and select the one that best supports the task.,Collaborative KG Delivery Planning,Identifier Pattern Recognition,Cognitive Apprenticeship,Coaching,Guided Practice | Error Analysis
Recognize logic operators,Logic Operator Recognition in Introduction to Logic: Trace the reasoning path from source concept to modeled statement.,Data Science KG Modeling Foundations,Logic Operator Recognition,Bloom's Taxonomy,Remember,Retrieval Practice | Advance Organizer
Interpret propositional statements,Propositional Statement Reasoning in Propositional Logic: Revise a flawed example until the terminology and relation choices line up.,Ontology Contribution Modeling Practice,Propositional Statement Reasoning,Experiential Learning Cycle,Abstract Conceptualization,Analogical Comparison | Concept Mapping
Interpret Datalog rules,"Datalog Rule Interpretation in Datalog: Classify the evidence, then state the implication for a KG workflow.",Data Analysis KG Modeling Practice,Datalog Rule Interpretation,Cognitive Apprenticeship,Articulation,Self Explanation | Socratic Questioning
Interpret predicate logic statements,Predicate Logic Statement Interpretation in Predicate Logic: Build a concise explanation that another learner could reuse.,Executive KG Value Review,Predicate Logic Statement Interpretation,Cognitive Apprenticeship,Articulation,Self Explanation | Socratic Questioning
Analyze description logic constraints,"Description Logic Constraint Reasoning in Description Logic: Connect the concept to a tool, schema, or query decision.",Data Science KG Modeling Foundations,Description Logic Constraint Reasoning,Conceptual Change,Cognitive Conflict,Conceptual Conflict Prompt | Socratic Questioning
Explain rule based inference,Rule Based Inference Explanation in Rules: Separate vocabulary recall from modeling judgment in the final answer.,Consulting KG Opportunity Review,Rule Based Inference Explanation,Experiential Learning Cycle,Abstract Conceptualization,Analogical Comparison | Concept Mapping
Apply set relationships,Set Relationship Reasoning in Introduction to Set Theory: Use the module artifact to defend one explicit design choice.,KG Curriculum Design Studio,Set Relationship Reasoning,Cognitive Apprenticeship,Scaffolding,Faded Worked Example | Guided Practice
Recognize discrete relation properties,Discrete Relation Property Recognition in Introduction to Discrete Mathematics: Translate the concept into a concrete check a reviewer could apply.,Ontology Vocabulary Modeling Review,Discrete Relation Property Recognition,Bloom's Taxonomy,Remember,Retrieval Practice | Advance Organizer
Compare open and closed world assumptions,Open Closed World Assumption Comparison in Open World Assumption vs Closed World Assumption: Sort examples and define the boundary conditions for Inference.,Data Analysis KG Modeling Practice,Open Closed World Assumption Comparison,Conceptual Change,Cognitive Conflict,Conceptual Conflict Prompt | Socratic Questioning
