Learning Feedback,Learning Feedback Type,Learner,Affects Learning Strategy Situation,Affects Learning Strategy,Source,Response Time Type,Point In Time Value,Point In Time Reference System,Interval Start Value,Interval Start Reference System,Interval End Value,Response Time Key,Interval End Reference System,Affects Awareness Observation,Affects Awareness Observation Topic,Affects Awareness Observation Skill
Corrective Feedback on Identifier Patterns,Corrective Feedback,Learner Blair,Identifier Practice Session,Identifier and RDF Practice Strategy,Learning Platform,PointInTime,2026-01-15T10:09:00Z,ISO 8601 UTC,,,,2026-01-15T10:09:00Z,,Identifier Awareness After Check,URI,Linked Data Identifier Recognition
Strategic Feedback on Ontology Explanation,Strategic Feedback,Learner Alex,Foundational Semantic Web Study,Semantic Web Foundations Strategy,Instructor Reviewer,PointInTime,2026-01-16T14:30:00Z,ISO 8601 UTC,,,,2026-01-16T14:30:00Z,,Ontology Awareness After Review,Ontology,Ontology Concept Explanation
Corrective Feedback on Triple Components,Corrective Feedback,Learner Blair,RDF Practice Session,Identifier and RDF Practice Strategy,Learning Platform,PointInTime,2026-01-17T11:16:00Z,ISO 8601 UTC,,,,2026-01-17T11:16:00Z,,RDF Triple Awareness After Quiz,Triple,RDF Triple Interpretation
Strategic Feedback on Schema Reasoning,Strategic Feedback,Learner Casey,RDFS Schema Practice,Schema Reasoning Strategy,Instructor Reviewer,PointInTime,2026-01-18T15:20:00Z,ISO 8601 UTC,,,,2026-01-18T15:20:00Z,,RDFS Schema Awareness After Review,Schema,RDFS Schema Reasoning
Corrective Feedback on SPARQL Pattern,Corrective Feedback,Learner Blair,SPARQL Query Practice,Query Construction Strategy,Learning Platform,PointInTime,2026-01-19T13:22:00Z,ISO 8601 UTC,,,,2026-01-19T13:22:00Z,,SPARQL Awareness After Practice,Query,SPARQL Query Construction
Strategic Feedback on OWL Modeling,Strategic Feedback,Learner Casey,OWL Modeling Practice,OWL Modeling Revision Strategy,Instructor Reviewer,PointInTime,2026-01-20T16:40:00Z,ISO 8601 UTC,,,,2026-01-20T16:40:00Z,,OWL Modeling Awareness After Review,OWL,OWL Axiom Analysis
Mastery Feedback on RDF RDFS Basics,Motivational Feedback,Learner Casey,RDFS Schema Practice,OWL Modeling Revision Strategy,Learning Platform,PointInTime,2026-01-21T10:35:00Z,ISO 8601 UTC,,,,2026-01-21T10:35:00Z,,RDF RDFS Mastery Awareness,Schema,RDF RDFS Mastery Demonstration
Metadata Vocabulary Recall Correction Note,Corrective Feedback,Learner Ethan,Knowledge Graph Foundations Orientation,Knowledge Graph Foundations Strategy,Learning Platform,PointInTime,2026-02-01T14:00:00Z,ISO 8601 UTC,,,,2026-02-01T14:00:00Z,,Metadata Example Sortpoint,Metadata,Metadata Vocabulary Recall
Ontology Component Explanation Revision Guidance,Corrective Feedback,Learner Debbie,Developer Knowledge Graph Implementation Practice,Developer KG Implementation Strategy,Instructor Reviewer,PointInTime,2026-02-02T14:07:00Z,ISO 8601 UTC,,,,2026-02-02T14:07:00Z,,Ontology Component Explanation Review,Ontology,Ontology Component Explanation
Knowledge Graph Structure Explanation Coaching Note,Strategic Feedback,Learner Darwin,Data Science KG Modeling Foundations,Data Science KG Modeling Strategy,Learning Platform,PointInTime,2026-02-03T14:14:00Z,ISO 8601 UTC,,,,2026-02-03T14:14:00Z,,Knowledge Graph Structure Explanation Practice Update,Schema,Knowledge Graph Structure Explanation
Identifier Pattern Recognition Practice Cue,Strategic Feedback,Learner Carla,Collaborative KG Delivery Planning,Collaborative KG Implementation Strategy,Learning Platform,PointInTime,2026-02-04T14:21:00Z,ISO 8601 UTC,,,,2026-02-04T14:21:00Z,,Identifier Pattern Recognition Scenario Update,URI,Identifier Pattern Recognition
Logic Operator Recognition Review Comment,Motivational Feedback,Learner Darwin,Data Science KG Modeling Foundations,Data Science KG Modeling Strategy,Learning Platform,PointInTime,2026-02-05T14:28:00Z,ISO 8601 UTC,,,,2026-02-05T14:28:00Z,,Logic Operator Recognition Task Evidence,Conjunction,Logic Operator Recognition
Propositional Statement Reasoning Next Step Note,Corrective Feedback,Learner Connie,Ontology Contribution Modeling Practice,Ontology Contribution Strategy,Learning Platform,PointInTime,2026-02-06T14:00:00Z,ISO 8601 UTC,,,,2026-02-06T14:00:00Z,,Propositional Statement Reasoning Revision State,Conjunction,Propositional Statement Reasoning
Datalog Rule Interpretation Evidence Prompt,Strategic Feedback,Learner Courtney,Data Analysis KG Modeling Practice,Data Analysis Modeling Strategy,Learning Platform,PointInTime,2026-02-07T14:07:00Z,ISO 8601 UTC,,,,2026-02-07T14:07:00Z,,Datalog Rule Interpretation Rubric Update,Inference,Datalog Rule Interpretation
Predicate Logic Statement Interpretation Extension Prompt,Strategic Feedback,Learner Edward,Executive KG Value Review,Executive KG Value Strategy,Learning Platform,PointInTime,2026-02-08T14:14:00Z,ISO 8601 UTC,,,,2026-02-08T14:14:00Z,,Predicate Logic Statement Interpretation Application Snapshot,Predicate,Predicate Logic Statement Interpretation
Description Logic Constraint Reasoning Correction Note,Strategic Feedback,Learner Darwin,Data Science KG Modeling Foundations,Data Science KG Modeling Strategy,Instructor Reviewer,PointInTime,2026-02-09T14:21:00Z,ISO 8601 UTC,,,,2026-02-09T14:21:00Z,,Description Logic Constraint Reasoning Checkpoint,Expressivity,Description Logic Constraint Reasoning
Rule Based Inference Explanation Revision Guidance,Motivational Feedback,Learner Chris,Consulting KG Opportunity Review,Consulting KG Value Strategy,Learning Platform,PointInTime,2026-02-10T14:28:00Z,ISO 8601 UTC,,,,2026-02-10T14:28:00Z,,Rule Based Inference Explanation Review,Inference,Rule Based Inference Explanation
Set Relationship Reasoning Coaching Note,Corrective Feedback,Learner Cameron,KG Curriculum Design Studio,Curriculum KG Foundations Strategy,Learning Platform,PointInTime,2026-02-11T14:00:00Z,ISO 8601 UTC,,,,2026-02-11T14:00:00Z,,Set Relationship Reasoning Practice Update,Union,Set Relationship Reasoning
Discrete Relation Property Recognition Practice Cue,Strategic Feedback,Learner Oratius,Ontology Vocabulary Modeling Review,Ontology Vocabulary Review Strategy,Instructor Reviewer,PointInTime,2026-02-12T14:07:00Z,ISO 8601 UTC,,,,2026-02-12T14:07:00Z,,Discrete Relation Property Recognition Scenario Update,Functionality,Discrete Relation Property Recognition
Open Closed World Assumption Comparison Review Comment,Strategic Feedback,Learner Courtney,Data Analysis KG Modeling Practice,Data Analysis Modeling Strategy,Learning Platform,PointInTime,2026-02-13T14:14:00Z,ISO 8601 UTC,,,,2026-02-13T14:14:00Z,,Open Closed World Assumption Comparison Task Evidence,Inference,Open Closed World Assumption Comparison
RDF Graph Interpretation Next Step Note,Strategic Feedback,Learner Elias,Educational KG Facilitation Planning,Educational Facilitation KG Strategy,Learning Platform,PointInTime,2026-02-14T14:21:00Z,ISO 8601 UTC,,,,2026-02-14T14:21:00Z,,RDF Graph Interpretation Revision State,Triple,RDF Graph Interpretation
RDFS Vocabulary Reasoning Evidence Prompt,Motivational Feedback,Learner Ronnie,KG Resource Development Practice,Resource Development KG Strategy,Learning Platform,PointInTime,2026-02-15T14:28:00Z,ISO 8601 UTC,,,,2026-02-15T14:28:00Z,,RDFS Vocabulary Reasoning Rubric Update,Subclass,RDFS Vocabulary Reasoning
RDF Serialization Format Comparison Extension Prompt,Corrective Feedback,Learner Usman,User Engagement KG Demonstration Planning,User Engagement Demonstration Strategy,Learning Platform,PointInTime,2026-02-16T14:00:00Z,ISO 8601 UTC,,,,2026-02-16T14:00:00Z,,RDF Serialization Format Comparison Application Snapshot,RDF/XML,RDF Serialization Format Comparison
RDF Star Statement Annotation Correction Note,Strategic Feedback,Learner Stella,Secure KG Implementation Training,Secure KG Training Strategy,Learning Platform,PointInTime,2026-02-17T14:07:00Z,ISO 8601 UTC,,,,2026-02-17T14:07:00Z,,RDF Star Annotation Exercisepoint,Triple,RDF Star Statement Annotation
SPARQL Query Pattern Construction Revision Guidance,Strategic Feedback,Learner Debbie,Developer Knowledge Graph Implementation Practice,Developer KG Implementation Strategy,Learning Platform,PointInTime,2026-02-18T14:14:00Z,ISO 8601 UTC,,,,2026-02-18T14:14:00Z,,SPARQL Query Pattern Construction Review,Query,SPARQL Query Pattern Construction
SWRL Rule Inference Explanation Coaching Note,Motivational Feedback,Learner Silas,Supply Chain KG Use Case Review,Supply Chain KG Value Strategy,Instructor Reviewer,PointInTime,2026-02-19T14:21:00Z,ISO 8601 UTC,,,,2026-02-19T14:21:00Z,,SWRL Rule Inference Explanation Practice Update,OWL,SWRL Rule Inference Explanation
OWL Modeling Constraint Analysis Practice Cue,Corrective Feedback,Learner Kai,KG Research Representation Study,KG Research Comparison Strategy,Instructor Reviewer,PointInTime,2026-02-20T14:28:00Z,ISO 8601 UTC,,,,2026-02-20T14:28:00Z,,OWL Modeling Constraint Analysis Scenario Update,OWL,OWL Modeling Constraint Analysis
OWL Dialect Selection Review Comment,Strategic Feedback,Learner Ella,Executive KG Outcome Framing,Executive Engagement KG Strategy,Instructor Reviewer,PointInTime,2026-02-21T14:00:00Z,ISO 8601 UTC,,,,2026-02-21T14:00:00Z,,OWL Dialect Selection Task Evidence,Expressivity,OWL Dialect Selection
Manchester Syntax Translation Next Step Note,Strategic Feedback,Learner Courtney,Data Analysis KG Modeling Practice,Data Analysis Modeling Strategy,Instructor Reviewer,PointInTime,2026-02-22T14:07:00Z,ISO 8601 UTC,,,,2026-02-22T14:07:00Z,,Manchester Syntax Translation Revision State,Axiom,Manchester Syntax Translation
SHACL Constraint Validation Evidence Prompt,Strategic Feedback,Learner Ethan,Knowledge Graph Foundations Orientation,Knowledge Graph Foundations Strategy,Instructor Reviewer,PointInTime,2026-02-23T14:14:00Z,ISO 8601 UTC,,,,2026-02-23T14:14:00Z,,SHACL Constraint Validation Rubric Update,Schema,SHACL Constraint Validation
Schema.org Vocabulary Alignment Extension Prompt,Motivational Feedback,Learner Connie,Ontology Contribution Modeling Practice,Ontology Contribution Strategy,Learning Platform,PointInTime,2026-02-24T14:21:00Z,ISO 8601 UTC,,,,2026-02-24T14:21:00Z,,Schema.org Vocabulary Alignment Application Snapshot,rangeIncludes,Schema.org Vocabulary Alignment
Dublin Core Metadata Mapping Correction Note,Corrective Feedback,Learner Edward,Executive KG Value Review,Executive KG Value Strategy,Learning Platform,PointInTime,2026-02-25T14:28:00Z,ISO 8601 UTC,,,,2026-02-25T14:28:00Z,,Dublin Core Metadata Mapping Taskpoint,Metadata,Dublin Core Metadata Mapping
Observation Ontology Modeling Revision Guidance,Strategic Feedback,Learner Chris,Consulting KG Opportunity Review,Consulting KG Value Strategy,Instructor Reviewer,PointInTime,2026-02-26T14:00:00Z,ISO 8601 UTC,,,,2026-02-26T14:00:00Z,,Observation Ontology Modeling Review,Ontology,Observation Ontology Modeling
Provenance Relationship Modeling Coaching Note,Strategic Feedback,Learner Carla,Collaborative KG Delivery Planning,Collaborative KG Implementation Strategy,Instructor Reviewer,PointInTime,2026-02-27T14:07:00Z,ISO 8601 UTC,,,,2026-02-27T14:07:00Z,,Provenance Relationship Modeling Practice Update,Provenance,Provenance Relationship Modeling
SKOS Concept Scheme Modeling Practice Cue,Strategic Feedback,Learner Oratius,Ontology Vocabulary Modeling Review,Ontology Vocabulary Review Strategy,Instructor Reviewer,PointInTime,2026-02-28T14:14:00Z,ISO 8601 UTC,,,,2026-02-28T14:14:00Z,,SKOS Concept Scheme Modeling Scenario Update,Taxonomy,SKOS Concept Scheme Modeling
Ontology Tool Selection Review Comment,Motivational Feedback,Learner Connie,Ontology Contribution Modeling Practice,Ontology Contribution Strategy,Instructor Reviewer,PointInTime,2026-03-01T14:21:00Z,ISO 8601 UTC,,,,2026-03-01T14:21:00Z,,Ontology Tool Selection Task Evidence,Protege,Ontology Tool Selection
Protege Ontology Editing Next Step Note,Corrective Feedback,Learner Elias,Educational KG Facilitation Planning,Educational Facilitation KG Strategy,Instructor Reviewer,PointInTime,2026-03-02T14:28:00Z,ISO 8601 UTC,,,,2026-03-02T14:28:00Z,,Protege Ontology Editing Revision State,Ontology,Protege Ontology Editing
Knowledge Graph Deployment Planning Evidence Prompt,Strategic Feedback,Learner Connie,Ontology Contribution Modeling Practice,Ontology Contribution Strategy,Instructor Reviewer,PointInTime,2026-03-03T14:00:00Z,ISO 8601 UTC,,,,2026-03-03T14:00:00Z,,Knowledge Graph Deployment Planning Rubric Update,Knowledge Graph,Knowledge Graph Deployment Planning
Knowledge Engineering Workflow Planning Extension Prompt,Strategic Feedback,Learner Cameron,KG Curriculum Design Studio,Curriculum KG Foundations Strategy,Instructor Reviewer,PointInTime,2026-03-04T14:07:00Z,ISO 8601 UTC,,,,2026-03-04T14:07:00Z,,Knowledge Engineering Workflow Planning Application Snapshot,Knowledge Graph,Knowledge Engineering Workflow Planning
