Pedagogical Framework,Pedagogical Framework Description,Pedagogical Elements,Has Ordered Elements Bool,First Element,Last Element
Bloom's Taxonomy,A hierarchical framework for moving learners from foundational recall toward higher order creation,Remember | Understand | Apply | Analyze | Evaluate | Create,TRUE,Remember,Create
Instructional Model,An inquiry-based instructional sequence that moves learners through engagement exploration explanation elaboration and evaluation,Engage | Explore | Explain | Elaborate | Evaluate,TRUE,Engage,Evaluate
Scaffolded Inquiry,A guided inquiry framework that gradually reduces support as learners build understanding,Activate Prior Knowledge | Guided Investigation | Concept Explanation | Independent Practice | Reflection,TRUE,Activate Prior Knowledge,Reflection
Gradual Release of Responsibility,A teaching framework that shifts responsibility from instructor modeling to learner independence,I Do | We Do | You Do Together | You Do Independently,TRUE,I Do,You Do Independently
Problem Based Learning,A learner-centered framework organized around investigating and resolving an authentic problem,Problem Presentation | Problem Analysis | Self Directed Learning | Solution Development | Presentation and Reflection,TRUE,Problem Presentation,Presentation and Reflection
Mastery Learning,A framework in which learners practice receive feedback and continue until defined mastery criteria are met,Initial Instruction | Formative Check | Corrective Support | Reassessment | Enrichment,TRUE,Initial Instruction,Enrichment
Experiential Learning Cycle,A cyclical framework that moves learners from concrete experience through reflection conceptualization and experimentation,Concrete Experience | Reflective Observation | Abstract Conceptualization | Active Experimentation,TRUE,Concrete Experience,Active Experimentation
Universal Design for Learning,A design framework for reducing learning barriers through varied engagement representation and expression options,Engagement Options | Representation Options | Action and Expression Options,FALSE,,
Community of Inquiry,A collaborative learning framework that organizes educational experience through social cognitive and teaching presence,Social Presence | Cognitive Presence | Teaching Presence,FALSE,,
Cognitive Apprenticeship,A framework that makes expert practice visible and then shifts learners toward independent strategic performance,Modeling | Coaching | Scaffolding | Articulation | Reflection | Exploration,TRUE,Modeling,Exploration
Self-Regulated Learning,A framework for helping learners set goals plan monitor evaluate and adjust their own learning strategies,Goal Setting | Strategic Planning | Self Monitoring | Self Evaluation | Strategy Adjustment,TRUE,Goal Setting,Strategy Adjustment
Collaborative Learning,A framework for shared inquiry where learners frame problems negotiate meaning construct artifacts and reflect together,Shared Problem Framing | Peer Negotiation | Joint Construction | Group Reflection,TRUE,Shared Problem Framing,Group Reflection
Project Based Learning,A framework centered on sustained inquiry that leads to critique revision and a public learning product,Driving Question | Sustained Inquiry | Critique and Revision | Public Product | Project Reflection,TRUE,Driving Question,Project Reflection
Conceptual Change,A framework for surfacing prior conceptions creating productive conflict and reconstructing understanding for transfer,Prior Conception Elicitation | Cognitive Conflict | Concept Reconstruction | Transfer Check,TRUE,Prior Conception Elicitation,Transfer Check
