Evaluation Assessment Exercise Context,Evaluation Assessment Exercise,Evaluates Topic Awareness Of,Workload Level,Uses Evaluation Techniques
What is Metadata?,Metadata Concept Check,Metadata,Low Workload,Auto Scored Concept Check
What is an Ontology?,Ontology Explanation Review,Ontology,Moderate Workload,Short Explanation Rubric
What is a Knowledge Graph?,Knowledge Graph Purpose Check,Knowledge Graph,Low Workload,Auto Scored Concept Check
What is an Identifier?,Identifier Pattern Check,URI,Low Workload,Auto Scored Concept Check
RDF,RDF Triple Interpretation Quiz,Triple,Moderate Workload,Triple Interpretation Quiz
RDFS,RDFS Schema Reasoning Exercise,Schema,Moderate Workload,Schema Reasoning Review
RDF Serializations,RDF Serialization Comparison,RDF/XML,Moderate Workload,Short Explanation Rubric
SPARQL,SPARQL Select Query Exercise,Query,Moderate Workload,Query Practice Check
OWL,OWL Modeling Review,OWL,Moderate Workload,Ontology Modeling Review
OWL,RDF RDFS Mastery Reassessment,Schema,Moderate Workload,Mastery Reassessment
What is Metadata?,Metadata Example Sort,Metadata,Low Workload,Auto Scored Concept Check
What is an Ontology?,Ontology Component Walkthrough,Ontology | Linked Data | Taxonomy | Schema,Moderate Workload,Short Explanation Rubric
What is a Knowledge Graph?,Knowledge Graph Structure Sketch,Schema | Statement | Triple,Low Workload,Auto Scored Concept Check
What is an Identifier?,Identifier Pattern Sorting Task,URI | Hash or Slash | Namespace,Low Workload,Auto Scored Concept Check
Introduction to Logic,Logic Operator Mini Quiz,Conjunction | Disjunction | Boolean Arithmetic,Low Workload,Auto Scored Concept Check
Propositional Logic,Proposition Truth Table Task,Conjunction | Disjunction | Boolean Arithmetic,Low Workload,Auto Scored Concept Check
Datalog,Datalog Rule Trace,Inference,Low Workload,Auto Scored Concept Check
Predicate Logic,Predicate Translation Task,Predicate | Subject | Object,Low Workload,Auto Scored Concept Check
Description Logic,Description Logic Constraint Review,Expressivity | Inference,High Workload,Ontology Modeling Review
Rules,Rule Inference Trace,Inference,Low Workload,Auto Scored Concept Check
